"Goods and services contribution to CPI annual movement (percentage points)"
,"All groups CPI (LHS) (%)","Goods (RHS) (% points)","Services (RHS) (% points)"
"Jun-03","2.6","1.3","1.3"
"Sep-03","2.6","1.5","1.1"
"Dec-03","2.4","1.2","1.2"
"Mar-04","2","0.8","1.2"
"Jun-04","2.5","1.3","1.2"
"Sep-04","2.3","1.1","1.2"
"Dec-04","2.5","1.4","1.1"
"Mar-05","2.4","1.1","1.3"
"Jun-05","2.5","1.3","1.2"
"Sep-05","3.1","1.9","1.2"
"Dec-05","2.8","1.5","1.3"
"Mar-06","2.9","1.8","1.1"
"Jun-06","4","2.6","1.4"
"Sep-06","4","2.5","1.5"
"Dec-06","3.3","1.7","1.6"
"Mar-07","2.5","1.1","1.4"
"Jun-07","2.1","0.7","1.4"
"Sep-07","1.8","0.4","1.4"
"Dec-07","2.9","1.4","1.5"
"Mar-08","4.3","2.4","1.9"
"Jun-08","4.4","2.2","2.2"
"Sep-08","5","2.6","2.5"
"Dec-08","3.7","1.5","2.2"
"Mar-09","2.4","1.1","1.3"
"Jun-09","1.4","0.7","0.7"
"Sep-09","1.2","0.7","0.5"
"Dec-09","2.1","1.5","0.6"
"Mar-10","2.9","1.5","1.4"
"Jun-10","3.1","1.6","1.5"
"Sep-10","2.9","1.4","1.5"
"Dec-10","2.8","1.6","1.2"
"Mar-11","3.3","2.1","1.2"
"Jun-11","3.5","2.1","1.4"
"Sep-11","3.4","1.8","1.6"
"Dec-11","3","1.2","1.8"
"Mar-12","1.6","0","1.6"
"Jun-12","1.2","-0.2","1.4"
"Sep-12","2","0.4","1.6"
"Dec-12","2.2","0.6","1.6"
"Mar-13","2.5","0.9","1.6"
"Jun-13","2.4","0.8","1.7"
"Sep-13","2.2","0.7","1.5"
"Dec-13","2.7","1.1","1.6"
"Mar-14","2.9","1.5","1.4"
"Jun-14","3","1.6","1.4"
"Sep-14","2.3","1.1","1.2"
"Dec-14","1.7","0.6","1.2"
"Mar-15","1.3","0","1.3"
"Jun-15","1.5","0.4","1.1"
"Sep-15","1.5","0.3","1.2"
"Dec-15","1.7","0.7","1"
"Mar-16","1.3","0.5","0.8"
"Jun-16","1","0.2","0.8"
"Sep-16","1.3","0.5","0.8"
"Dec-16","1.5","0.7","0.8"
"Mar-17","2.1","1.4","0.7"
"Jun-17","1.9","1.1","0.8"
"Sep-17","1.8","1","0.8"
"Dec-17","1.9","1.1","0.8"
"Mar-18","1.9","1","0.9"
"Jun-18","2.1","1.3","0.9"
"Sep-18","1.9","1.2","0.7"
"Dec-18","1.8","1","0.8"
"Mar-19","1.3","0.7","0.6"
"Jun-19","1.6","0.9","0.7"
"Sep-19","1.7","0.8","0.9"
"Dec-19","1.8","1","0.8"
"Mar-20","2.2","1.4","0.8"
"Jun-20","-0.3","0.7","-1"
"Sep-20","0.7","1","-0.3"
"Dec-20","0.9","0.6","0.3"
"Mar-21","1.1","0.6","0.5"
"Jun-21","3.8","1.6","2.2"
"Sep-21","3","1.5","1.5"
"Dec-21","3.5","2.5","1"
"Mar-22","5.1","3.9","1.3"
"Jun-22","6.1","4.8","1.3"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June 2022"
